downscaling_method,scenario,timescale,variable,resolution
Dynamical,Historical Climate,hourly,Shortwave surface downward direct irradiance,45 km
Dynamical,Historical Climate,hourly,Shortwave surface downward direct irradiance,9 km
Dynamical,Historical Climate,hourly,Shortwave surface downward direct irradiance,3 km
Dynamical,Historical Climate,hourly,Shortwave surface downward direct normal irradiance,45 km
Dynamical,Historical Climate,hourly,Shortwave surface downward direct normal irradiance,9 km
Dynamical,Historical Climate,hourly,Shortwave surface downward direct normal irradiance,3 km
Dynamical,SSP 3-7.0,hourly,Shortwave surface downward direct irradiance,45 km
Dynamical,SSP 3-7.0,hourly,Shortwave surface downward direct irradiance,9 km
Dynamical,SSP 3-7.0,hourly,Shortwave surface downward direct irradiance,3 km
Dynamical,SSP 3-7.0,hourly,Shortwave surface downward direct normal irradiance,45 km
Dynamical,SSP 3-7.0,hourly,Shortwave surface downward direct normal irradiance,9 km
Dynamical,SSP 3-7.0,hourly,Shortwave surface downward direct normal irradiance,3 km
Dynamical,Historical Reconstruction,hourly,Instantaneous downwelling clear sky longwave flux at bottom,45 km
Dynamical,Historical Reconstruction,hourly,Instantaneous downwelling clear sky longwave flux at bottom,9 km
Dynamical,Historical Reconstruction,hourly,Instantaneous downwelling clear sky longwave flux at bottom,3 km
Dynamical,Historical Reconstruction,hourly,Instantaneous downwelling longwave flux at bottom,45 km
Dynamical,Historical Reconstruction,hourly,Instantaneous downwelling longwave flux at bottom,9 km
Dynamical,Historical Reconstruction,hourly,Instantaneous downwelling longwave flux at bottom,3 km
Dynamical,Historical Reconstruction,hourly,Instantaneous upwelling clear sky longwave flux at bottom,45 km
Dynamical,Historical Reconstruction,hourly,Instantaneous upwelling clear sky longwave flux at bottom,9 km
Dynamical,Historical Reconstruction,hourly,Instantaneous upwelling clear sky longwave flux at bottom,3 km
Dynamical,Historical Reconstruction,hourly,Instantaneous upwelling longwave flux at bottom,45 km
Dynamical,Historical Reconstruction,hourly,Instantaneous upwelling longwave flux at bottom,9 km
Dynamical,Historical Reconstruction,hourly,Instantaneous upwelling longwave flux at bottom,3 km
Dynamical,Historical Reconstruction,hourly,Precipitation (total),45 km
Dynamical,Historical Reconstruction,hourly,Precipitation (total),9 km
Dynamical,Historical Reconstruction,hourly,Precipitation (total),3 km
Dynamical,Historical Reconstruction,hourly,Surface Pressure,45 km
Dynamical,Historical Reconstruction,hourly,Surface Pressure,9 km
Dynamical,Historical Reconstruction,hourly,Surface Pressure,3 km
Dynamical,Historical Reconstruction,hourly,Water Vapor Mixing Ratio at 2m,45 km
Dynamical,Historical Reconstruction,hourly,Water Vapor Mixing Ratio at 2m,9 km
Dynamical,Historical Reconstruction,hourly,Water Vapor Mixing Ratio at 2m,3 km
Dynamical,Historical Reconstruction,hourly,Precipitation (cumulus portion only),45 km
Dynamical,Historical Reconstruction,hourly,Precipitation (cumulus portion only),9 km
Dynamical,Historical Reconstruction,hourly,Precipitation (cumulus portion only),3 km
Dynamical,Historical Reconstruction,hourly,Precipitation (grid-scale portion only),45 km
Dynamical,Historical Reconstruction,hourly,Precipitation (grid-scale portion only),9 km
Dynamical,Historical Reconstruction,hourly,Precipitation (grid-scale portion only),3 km
Dynamical,Historical Reconstruction,hourly,Snowfall (snow and ice),45 km
Dynamical,Historical Reconstruction,hourly,Snowfall (snow and ice),9 km
Dynamical,Historical Reconstruction,hourly,Snowfall (snow and ice),3 km
Dynamical,Historical Reconstruction,hourly,Shortwave surface downward diffuse irradiance,45 km
Dynamical,Historical Reconstruction,hourly,Shortwave surface downward diffuse irradiance,9 km
Dynamical,Historical Reconstruction,hourly,Shortwave surface downward diffuse irradiance,3 km
Dynamical,Historical Reconstruction,hourly,Shortwave surface downward direct irradiance,45 km
Dynamical,Historical Reconstruction,hourly,Shortwave surface downward direct irradiance,9 km
Dynamical,Historical Reconstruction,hourly,Shortwave surface downward direct irradiance,3 km
Dynamical,Historical Reconstruction,hourly,Shortwave surface downward direct normal irradiance,45 km
Dynamical,Historical Reconstruction,hourly,Shortwave surface downward direct normal irradiance,9 km
Dynamical,Historical Reconstruction,hourly,Shortwave surface downward direct normal irradiance,3 km
Dynamical,Historical Reconstruction,hourly,Instantaneous downwelling clear sky shortwave flux at bottom,45 km
Dynamical,Historical Reconstruction,hourly,Instantaneous downwelling clear sky shortwave flux at bottom,9 km
Dynamical,Historical Reconstruction,hourly,Instantaneous downwelling clear sky shortwave flux at bottom,3 km
Dynamical,Historical Reconstruction,hourly,Instantaneous downwelling shortwave flux at bottom,45 km
Dynamical,Historical Reconstruction,hourly,Instantaneous downwelling shortwave flux at bottom,9 km
Dynamical,Historical Reconstruction,hourly,Instantaneous downwelling shortwave flux at bottom,3 km
Dynamical,Historical Reconstruction,hourly,Instantaneous upwelling clear sky shortwave flux at bottom,45 km
Dynamical,Historical Reconstruction,hourly,Instantaneous upwelling clear sky shortwave flux at bottom,9 km
Dynamical,Historical Reconstruction,hourly,Instantaneous upwelling clear sky shortwave flux at bottom,3 km
Dynamical,Historical Reconstruction,hourly,Instantaneous upwelling shortwave flux at bottom,45 km
Dynamical,Historical Reconstruction,hourly,Instantaneous upwelling shortwave flux at bottom,9 km
Dynamical,Historical Reconstruction,hourly,Instantaneous upwelling shortwave flux at bottom,3 km
Dynamical,Historical Reconstruction,hourly,Air Temperature at 2m,45 km
Dynamical,Historical Reconstruction,hourly,Air Temperature at 2m,9 km
Dynamical,Historical Reconstruction,hourly,Air Temperature at 2m,3 km
Dynamical,Historical Reconstruction,hourly,Surface skin temperature,45 km
Dynamical,Historical Reconstruction,hourly,Surface skin temperature,9 km
Dynamical,Historical Reconstruction,hourly,Surface skin temperature,3 km
Dynamical,Historical Reconstruction,hourly,West-East component of Wind at 10m,45 km
Dynamical,Historical Reconstruction,hourly,West-East component of Wind at 10m,9 km
Dynamical,Historical Reconstruction,hourly,West-East component of Wind at 10m,3 km
Dynamical,Historical Reconstruction,hourly,North-South component of Wind at 10m,45 km
Dynamical,Historical Reconstruction,hourly,North-South component of Wind at 10m,9 km
Dynamical,Historical Reconstruction,hourly,North-South component of Wind at 10m,3 km
Dynamical,Historical Reconstruction,daily,Evaporation,45 km
Dynamical,Historical Reconstruction,daily,Evaporation,9 km
Dynamical,Historical Reconstruction,daily,Evaporation,3 km
Dynamical,Historical Reconstruction,daily,Ground heat flux,45 km
Dynamical,Historical Reconstruction,daily,Ground heat flux,9 km
Dynamical,Historical Reconstruction,daily,Ground heat flux,3 km
Dynamical,Historical Reconstruction,daily,Ice water path,45 km
Dynamical,Historical Reconstruction,daily,Ice water path,9 km
Dynamical,Historical Reconstruction,daily,Ice water path,3 km
Dynamical,Historical Reconstruction,daily,Latent heat flux at the surface,45 km
Dynamical,Historical Reconstruction,daily,Latent heat flux at the surface,9 km
Dynamical,Historical Reconstruction,daily,Latent heat flux at the surface,3 km
Dynamical,Historical Reconstruction,daily,Instantaneous downwelling longwave flux at bottom,45 km
Dynamical,Historical Reconstruction,daily,Instantaneous downwelling longwave flux at bottom,9 km
Dynamical,Historical Reconstruction,daily,Instantaneous downwelling longwave flux at bottom,3 km
Dynamical,Historical Reconstruction,daily,Liquid water path,45 km
Dynamical,Historical Reconstruction,daily,Liquid water path,9 km
Dynamical,Historical Reconstruction,daily,Liquid water path,3 km
Dynamical,Historical Reconstruction,daily,Longwave flux at the surface,45 km
Dynamical,Historical Reconstruction,daily,Longwave flux at the surface,9 km
Dynamical,Historical Reconstruction,daily,Longwave flux at the surface,3 km
Dynamical,Historical Reconstruction,daily,Precipitation (total),45 km
Dynamical,Historical Reconstruction,daily,Precipitation (total),9 km
Dynamical,Historical Reconstruction,daily,Precipitation (total),3 km
Dynamical,Historical Reconstruction,daily,Maximum precipitation,45 km
Dynamical,Historical Reconstruction,daily,Maximum precipitation,9 km
Dynamical,Historical Reconstruction,daily,Maximum precipitation,3 km
Dynamical,Historical Reconstruction,daily,Snowfall,45 km
Dynamical,Historical Reconstruction,daily,Snowfall,9 km
Dynamical,Historical Reconstruction,daily,Snowfall,3 km
Dynamical,Historical Reconstruction,daily,Surface Pressure,45 km
Dynamical,Historical Reconstruction,daily,Surface Pressure,9 km
Dynamical,Historical Reconstruction,daily,Surface Pressure,3 km
Dynamical,Historical Reconstruction,daily,Specific humidity at 2m,45 km
Dynamical,Historical Reconstruction,daily,Specific humidity at 2m,9 km
Dynamical,Historical Reconstruction,daily,Specific humidity at 2m,3 km
Dynamical,Historical Reconstruction,daily,Relative humidity,45 km
Dynamical,Historical Reconstruction,daily,Relative humidity,9 km
Dynamical,Historical Reconstruction,daily,Relative humidity,3 km
Dynamical,Historical Reconstruction,daily,Sensible heat flux at the surface,45 km
Dynamical,Historical Reconstruction,daily,Sensible heat flux at the surface,9 km
Dynamical,Historical Reconstruction,daily,Sensible heat flux at the surface,3 km
Dynamical,Historical Reconstruction,daily,Instantaneous downwelling shortwave flux at bottom,45 km
Dynamical,Historical Reconstruction,daily,Instantaneous downwelling shortwave flux at bottom,9 km
Dynamical,Historical Reconstruction,daily,Instantaneous downwelling shortwave flux at bottom,3 km
Dynamical,Historical Reconstruction,daily,Shortwave flux at the surface,45 km
Dynamical,Historical Reconstruction,daily,Shortwave flux at the surface,9 km
Dynamical,Historical Reconstruction,daily,Shortwave flux at the surface,3 km
Dynamical,Historical Reconstruction,daily,Air Temperature at 2m,45 km
Dynamical,Historical Reconstruction,daily,Air Temperature at 2m,9 km
Dynamical,Historical Reconstruction,daily,Air Temperature at 2m,3 km
Dynamical,Historical Reconstruction,daily,Maximum air temperature at 2m,45 km
Dynamical,Historical Reconstruction,daily,Maximum air temperature at 2m,9 km
Dynamical,Historical Reconstruction,daily,Maximum air temperature at 2m,3 km
Dynamical,Historical Reconstruction,daily,Minimum air temperature at 2m,45 km
Dynamical,Historical Reconstruction,daily,Minimum air temperature at 2m,9 km
Dynamical,Historical Reconstruction,daily,Minimum air temperature at 2m,3 km
Dynamical,Historical Reconstruction,daily,Surface skin temperature,45 km
Dynamical,Historical Reconstruction,daily,Surface skin temperature,9 km
Dynamical,Historical Reconstruction,daily,Surface skin temperature,3 km
Dynamical,Historical Reconstruction,daily,Maximum wind speed at 10m,45 km
Dynamical,Historical Reconstruction,daily,Maximum wind speed at 10m,9 km
Dynamical,Historical Reconstruction,daily,Maximum wind speed at 10m,3 km
Dynamical,Historical Reconstruction,daily,Mean wind speed at 10m,45 km
Dynamical,Historical Reconstruction,daily,Mean wind speed at 10m,9 km
Dynamical,Historical Reconstruction,daily,Mean wind speed at 10m,3 km
Dynamical,Historical Reconstruction,monthly,Evaporation,45 km
Dynamical,Historical Reconstruction,monthly,Evaporation,9 km
Dynamical,Historical Reconstruction,monthly,Evaporation,3 km
Dynamical,Historical Reconstruction,monthly,Ground heat flux,45 km
Dynamical,Historical Reconstruction,monthly,Ground heat flux,9 km
Dynamical,Historical Reconstruction,monthly,Ground heat flux,3 km
Dynamical,Historical Reconstruction,monthly,Ice water path,45 km
Dynamical,Historical Reconstruction,monthly,Ice water path,9 km
Dynamical,Historical Reconstruction,monthly,Ice water path,3 km
Dynamical,Historical Reconstruction,monthly,Latent heat flux at the surface,45 km
Dynamical,Historical Reconstruction,monthly,Latent heat flux at the surface,9 km
Dynamical,Historical Reconstruction,monthly,Latent heat flux at the surface,3 km
Dynamical,Historical Reconstruction,monthly,Instantaneous downwelling longwave flux at bottom,45 km
Dynamical,Historical Reconstruction,monthly,Instantaneous downwelling longwave flux at bottom,9 km
Dynamical,Historical Reconstruction,monthly,Instantaneous downwelling longwave flux at bottom,3 km
Dynamical,Historical Reconstruction,monthly,Liquid water path,45 km
Dynamical,Historical Reconstruction,monthly,Liquid water path,9 km
Dynamical,Historical Reconstruction,monthly,Liquid water path,3 km
Dynamical,Historical Reconstruction,monthly,Longwave flux at the surface,45 km
Dynamical,Historical Reconstruction,monthly,Longwave flux at the surface,9 km
Dynamical,Historical Reconstruction,monthly,Longwave flux at the surface,3 km
Dynamical,Historical Reconstruction,monthly,Precipitation (total),45 km
Dynamical,Historical Reconstruction,monthly,Precipitation (total),9 km
Dynamical,Historical Reconstruction,monthly,Precipitation (total),3 km
Dynamical,Historical Reconstruction,monthly,Maximum precipitation,45 km
Dynamical,Historical Reconstruction,monthly,Maximum precipitation,9 km
Dynamical,Historical Reconstruction,monthly,Maximum precipitation,3 km
Dynamical,Historical Reconstruction,monthly,Snowfall,45 km
Dynamical,Historical Reconstruction,monthly,Snowfall,9 km
Dynamical,Historical Reconstruction,monthly,Snowfall,3 km
Dynamical,Historical Reconstruction,monthly,Surface Pressure,45 km
Dynamical,Historical Reconstruction,monthly,Surface Pressure,9 km
Dynamical,Historical Reconstruction,monthly,Surface Pressure,3 km
Dynamical,Historical Reconstruction,monthly,Specific humidity at 2m,45 km
Dynamical,Historical Reconstruction,monthly,Specific humidity at 2m,9 km
Dynamical,Historical Reconstruction,monthly,Specific humidity at 2m,3 km
Dynamical,Historical Reconstruction,monthly,Relative humidity,45 km
Dynamical,Historical Reconstruction,monthly,Relative humidity,9 km
Dynamical,Historical Reconstruction,monthly,Relative humidity,3 km
Dynamical,Historical Reconstruction,monthly,Sensible heat flux at the surface,45 km
Dynamical,Historical Reconstruction,monthly,Sensible heat flux at the surface,9 km
Dynamical,Historical Reconstruction,monthly,Sensible heat flux at the surface,3 km
Dynamical,Historical Reconstruction,monthly,Instantaneous downwelling shortwave flux at bottom,45 km
Dynamical,Historical Reconstruction,monthly,Instantaneous downwelling shortwave flux at bottom,9 km
Dynamical,Historical Reconstruction,monthly,Instantaneous downwelling shortwave flux at bottom,3 km
Dynamical,Historical Reconstruction,monthly,Shortwave flux at the surface,45 km
Dynamical,Historical Reconstruction,monthly,Shortwave flux at the surface,9 km
Dynamical,Historical Reconstruction,monthly,Shortwave flux at the surface,3 km
Dynamical,Historical Reconstruction,monthly,Air Temperature at 2m,45 km
Dynamical,Historical Reconstruction,monthly,Air Temperature at 2m,9 km
Dynamical,Historical Reconstruction,monthly,Air Temperature at 2m,3 km
Dynamical,Historical Reconstruction,monthly,Maximum air temperature at 2m,45 km
Dynamical,Historical Reconstruction,monthly,Maximum air temperature at 2m,9 km
Dynamical,Historical Reconstruction,monthly,Maximum air temperature at 2m,3 km
Dynamical,Historical Reconstruction,monthly,Minimum air temperature at 2m,45 km
Dynamical,Historical Reconstruction,monthly,Minimum air temperature at 2m,9 km
Dynamical,Historical Reconstruction,monthly,Minimum air temperature at 2m,3 km
Dynamical,Historical Reconstruction,monthly,Surface skin temperature,45 km
Dynamical,Historical Reconstruction,monthly,Surface skin temperature,9 km
Dynamical,Historical Reconstruction,monthly,Surface skin temperature,3 km
Dynamical,Historical Reconstruction,monthly,Maximum wind speed at 10m,45 km
Dynamical,Historical Reconstruction,monthly,Maximum wind speed at 10m,9 km
Dynamical,Historical Reconstruction,monthly,Maximum wind speed at 10m,3 km
Dynamical,Historical Reconstruction,monthly,Mean wind speed at 10m,45 km
Dynamical,Historical Reconstruction,monthly,Mean wind speed at 10m,9 km
Dynamical,Historical Reconstruction,monthly,Mean wind speed at 10m,3 km
Dynamical,Historical Climate,daily,Dew point temperature,45 km
Dynamical,Historical Climate,daily,Dew point temperature,9 km
Dynamical,Historical Climate,daily,Dew point temperature,3 km
Dynamical,SSP 2-4.5,daily,Dew point temperature,45 km
Dynamical,SSP 2-4.5,daily,Dew point temperature,9 km
Dynamical,SSP 3-7.0,daily,Dew point temperature,45 km
Dynamical,SSP 3-7.0,daily,Dew point temperature,9 km
Dynamical,SSP 3-7.0,daily,Dew point temperature,3 km
Dynamical,SSP 5-8.5,daily,Dew point temperature,45 km
Dynamical,SSP 5-8.5,daily,Dew point temperature,9 km
Dynamical,Historical Reconstruction,daily,Dew point temperature,45 km
Dynamical,Historical Reconstruction,daily,Dew point temperature,9 km
Dynamical,Historical Reconstruction,daily,Dew point temperature,3 km
Dynamical,Historical Climate,monthly,Dew point temperature,45 km
Dynamical,Historical Climate,monthly,Dew point temperature,9 km
Dynamical,Historical Climate,monthly,Dew point temperature,3 km
Dynamical,SSP 2-4.5,monthly,Dew point temperature,45 km
Dynamical,SSP 2-4.5,monthly,Dew point temperature,9 km
Dynamical,SSP 3-7.0,monthly,Dew point temperature,45 km
Dynamical,SSP 3-7.0,monthly,Dew point temperature,9 km
Dynamical,SSP 3-7.0,monthly,Dew point temperature,3 km
Dynamical,SSP 5-8.5,monthly,Dew point temperature,45 km
Dynamical,SSP 5-8.5,monthly,Dew point temperature,9 km
Dynamical,Historical Reconstruction,monthly,Dew point temperature,45 km
Dynamical,Historical Reconstruction,monthly,Dew point temperature,9 km
Dynamical,Historical Reconstruction,monthly,Dew point temperature,3 km
Dynamical,Historical Climate,hourly,Relative humidity,45 km
Dynamical,Historical Climate,hourly,Relative humidity,9 km
Dynamical,Historical Climate,hourly,Relative humidity,3 km
Dynamical,SSP 3-7.0,hourly,Relative humidity,45 km
Dynamical,SSP 3-7.0,hourly,Relative humidity,9 km
Dynamical,SSP 3-7.0,hourly,Relative humidity,3 km
Dynamical,SSP 2-4.5,hourly,Relative humidity,45 km
Dynamical,SSP 2-4.5,hourly,Relative humidity,9 km
Dynamical,SSP 5-8.5,hourly,Relative humidity,45 km
Dynamical,SSP 5-8.5,hourly,Relative humidity,9 km
Dynamical,Historical Reconstruction,hourly,Relative humidity,45 km
Dynamical,Historical Reconstruction,hourly,Relative humidity,9 km
Dynamical,Historical Reconstruction,hourly,Relative humidity,3 km
Dynamical,Historical Climate,hourly,Wind speed at 10m,45 km
Dynamical,Historical Climate,hourly,Wind speed at 10m,9 km
Dynamical,Historical Climate,hourly,Wind speed at 10m,3 km
Dynamical,SSP 3-7.0,hourly,Wind speed at 10m,45 km
Dynamical,SSP 3-7.0,hourly,Wind speed at 10m,9 km
Dynamical,SSP 3-7.0,hourly,Wind speed at 10m,3 km
Dynamical,SSP 2-4.5,hourly,Wind speed at 10m,45 km
Dynamical,SSP 2-4.5,hourly,Wind speed at 10m,9 km
Dynamical,SSP 5-8.5,hourly,Wind speed at 10m,45 km
Dynamical,SSP 5-8.5,hourly,Wind speed at 10m,9 km
Dynamical,Historical Reconstruction,hourly,Wind speed at 10m,45 km
Dynamical,Historical Reconstruction,hourly,Wind speed at 10m,9 km
Dynamical,Historical Reconstruction,hourly,Wind speed at 10m,3 km
Dynamical,Historical Climate,hourly,Wind direction at 10m,45 km
Dynamical,Historical Climate,hourly,Wind direction at 10m,9 km
Dynamical,Historical Climate,hourly,Wind direction at 10m,3 km
Dynamical,SSP 3-7.0,hourly,Wind direction at 10m,45 km
Dynamical,SSP 3-7.0,hourly,Wind direction at 10m,9 km
Dynamical,SSP 3-7.0,hourly,Wind direction at 10m,3 km
Dynamical,SSP 2-4.5,hourly,Wind direction at 10m,45 km
Dynamical,SSP 2-4.5,hourly,Wind direction at 10m,9 km
Dynamical,SSP 5-8.5,hourly,Wind direction at 10m,45 km
Dynamical,SSP 5-8.5,hourly,Wind direction at 10m,9 km
Dynamical,Historical Reconstruction,hourly,Wind direction at 10m,45 km
Dynamical,Historical Reconstruction,hourly,Wind direction at 10m,9 km
Dynamical,Historical Reconstruction,hourly,Wind direction at 10m,3 km
Dynamical,Historical Climate,hourly,Dew point temperature,45 km
Dynamical,Historical Climate,hourly,Dew point temperature,9 km
Dynamical,Historical Climate,hourly,Dew point temperature,3 km
Dynamical,SSP 3-7.0,hourly,Dew point temperature,45 km
Dynamical,SSP 3-7.0,hourly,Dew point temperature,9 km
Dynamical,SSP 3-7.0,hourly,Dew point temperature,3 km
Dynamical,SSP 2-4.5,hourly,Dew point temperature,45 km
Dynamical,SSP 2-4.5,hourly,Dew point temperature,9 km
Dynamical,SSP 5-8.5,hourly,Dew point temperature,45 km
Dynamical,SSP 5-8.5,hourly,Dew point temperature,9 km
Dynamical,Historical Reconstruction,hourly,Dew point temperature,45 km
Dynamical,Historical Reconstruction,hourly,Dew point temperature,9 km
Dynamical,Historical Reconstruction,hourly,Dew point temperature,3 km
Dynamical,Historical Climate,hourly,Specific humidity at 2m,45 km
Dynamical,Historical Climate,hourly,Specific humidity at 2m,9 km
Dynamical,Historical Climate,hourly,Specific humidity at 2m,3 km
Dynamical,SSP 3-7.0,hourly,Specific humidity at 2m,45 km
Dynamical,SSP 3-7.0,hourly,Specific humidity at 2m,9 km
Dynamical,SSP 3-7.0,hourly,Specific humidity at 2m,3 km
Dynamical,SSP 2-4.5,hourly,Specific humidity at 2m,45 km
Dynamical,SSP 2-4.5,hourly,Specific humidity at 2m,9 km
Dynamical,SSP 5-8.5,hourly,Specific humidity at 2m,45 km
Dynamical,SSP 5-8.5,hourly,Specific humidity at 2m,9 km
Dynamical,Historical Reconstruction,hourly,Specific humidity at 2m,45 km
Dynamical,Historical Reconstruction,hourly,Specific humidity at 2m,9 km
Dynamical,Historical Reconstruction,hourly,Specific humidity at 2m,3 km
Dynamical,Historical Climate,hourly,NOAA Heat Index,45 km
Dynamical,Historical Climate,hourly,NOAA Heat Index,9 km
Dynamical,Historical Climate,hourly,NOAA Heat Index,3 km
Dynamical,SSP 3-7.0,hourly,NOAA Heat Index,45 km
Dynamical,SSP 3-7.0,hourly,NOAA Heat Index,9 km
Dynamical,SSP 3-7.0,hourly,NOAA Heat Index,3 km
Dynamical,SSP 2-4.5,hourly,NOAA Heat Index,45 km
Dynamical,SSP 2-4.5,hourly,NOAA Heat Index,9 km
Dynamical,SSP 5-8.5,hourly,NOAA Heat Index,45 km
Dynamical,SSP 5-8.5,hourly,NOAA Heat Index,9 km
Dynamical,Historical Reconstruction,hourly,NOAA Heat Index,45 km
Dynamical,Historical Reconstruction,hourly,NOAA Heat Index,9 km
Dynamical,Historical Reconstruction,hourly,NOAA Heat Index,3 km
Dynamical,Historical Climate,daily,Effective Temperature,45 km
Dynamical,Historical Climate,daily,Effective Temperature,9 km
Dynamical,Historical Climate,daily,Effective Temperature,3 km
Dynamical,SSP 2-4.5,daily,Effective Temperature,45 km
Dynamical,SSP 2-4.5,daily,Effective Temperature,9 km
Dynamical,SSP 3-7.0,daily,Effective Temperature,45 km
Dynamical,SSP 3-7.0,daily,Effective Temperature,9 km
Dynamical,SSP 3-7.0,daily,Effective Temperature,3 km
Dynamical,SSP 5-8.5,daily,Effective Temperature,45 km
Dynamical,SSP 5-8.5,daily,Effective Temperature,9 km
Dynamical,Historical Reconstruction,daily,Effective Temperature,45 km
Dynamical,Historical Reconstruction,daily,Effective Temperature,9 km
Dynamical,Historical Reconstruction,daily,Effective Temperature,3 km
